ticker,adjusted_purchase_volume,estimated_purchase_volume,purchase_speculation,purchase_count,purchase_count_individual,purchase_days_ago,purchase_owner,purchase_confidence,adjusted_sale_volume,estimated_sale_volume,sale_speculation,sale_count,sale_count_individual,sale_days_ago,sale_owner,sale_confidence,date,volume_net,score,price_change
CASY,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.19
ETN,0.0,0.0,0,0,0,-1.0,[],0.0,9.0,121503.0,0,6,1,37.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-121503.0,-0.71,0.8
WAL,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.04
NOG,2.0,65001.0,0,2,1,35.0,['John Hoeven'],0.096,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,65001.0,0.26,0.32
POWI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.84
KMB,0.0,0.0,0,0,0,-1.0,[],0.0,4.0,32002.0,0,4,1,0.0,['Susan M Collins'],0.14405405405405405,2015-02-20,-32002.0,-1.35,1.21
BMGAX,6.0,48003.0,0,6,1,72.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,48003.0,1.19,0.84
AAT,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.86
KLXI,0.0,0.0,0,0,0,-1.0,[],0.0,3.0,24001.5,0,3,1,37.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-24001.5,-0.26,0.69
THRM,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.97
ATRO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.47
SMTC,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.64
AXP,1.0,8000.5,0,1,1,38.0,['Susan M Collins'],0.9922222222222222,10.0,80005.0,0,10,1,0.0,['Susan M Collins'],0.14405405405405405,2015-02-20,-72004.5,-1.8,0.7
MDT,3.0,48501.5,0,3,2,24.0,"['Gary C Peters', 'Sheldon Whitehouse']",0.5770000000000001,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,48501.5,3.01,0.98
CVS,1.0,8000.5,0,1,1,38.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,8000.5,1.37,0.96
SSB,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.97
KMI,1.0,32500.5,0,1,1,79.0,['Timothy M Kaine'],0.061,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,32500.5,0.16,0.44
EGBN,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.25
DIOD,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.62
ICUI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.03
AIG,0.0,0.0,0,0,0,-1.0,[],0.0,3.0,24001.5,0,3,1,37.0,['Sheldon Whitehouse'],0.08095238095238096,2015-02-20,-24001.5,-0.26,0.95
BIO,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.1
AYI,2.0013069454817027,65001.0,0,2,1,0.0,['Susan M Collins'],0.9922222222222222,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,65001.0,4.8,1.2
AAON,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.89
TOLLX,4.0,32002.0,0,4,1,64.0,['Susan M Collins'],0.9922222222222222,4.0,32002.0,0,4,1,67.0,['Susan M Collins'],0.14405405405405405,2015-02-20,0.0,0.37,0.85
PNQI,2.0,16001.0,0,2,1,14.5,['Thomas R Carper'],1.1123529411764708,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,16001.0,4.39,1.0
HLX,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.18
HCSG,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.09
PAGP,1.0,75000.5,0,1,1,17.0,['Rafael E Cruz'],0.031,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,75000.5,0.06,0.27
BCPC,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.07
AMGN,1.0,8000.5,0,1,1,0.0,['John F Reed'],0.094,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,8000.5,0.25,0.97
SXT,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,0.92
WST,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.11
SIGI,0.0,0.0,0,0,0,-1.0,[],0.0,1.0,8000.5,0,1,1,7.0,['Thomas R Tillis'],0.12517241379310345,2015-02-20,-8000.5,-0.35,1.24
ABBV,1.0,8000.5,0,1,1,8.0,['Thomas R Carper'],1.1123529411764708,0.0,0.0,0,0,0,-1.0,[],0.0,2015-02-20,8000.5,2.67,0.92
